Product Name,Inventor,Quantity Available,Release Date
SteamMaster 3000,Professor Archibald Coppergear,50,03/15/23
Cogsworth Chronometer,Lady Amelia Brasswright,30,06/02/23
Aether Propulsion Jetpack,Sir Reginald Gearhart,20,08/10/23
Brass-o-Matic Automaton,Dr. Octavius Ironsides,40,05/20/23
Mechanical Monocle,Gwendolyn Gearsmith,100,02/07/23
Steam-Powered Submarine,Captain Bartholomew Cogswell,10,09/18/23
Phlogiston-Powered Flamethrower,Seraphina Steamforge,25,04/12/23
The Dirigible Delight,Professor Percival Steamborne,15,07/30/23
Clockwork Analytical Engine,Ada Ironhart,50,01/25/23
Gyroscopic Grappling Hook,Sir Oliver Bronzebeard,35,11/08/23
